date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-01-23,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-01-24,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-01-25,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-01-26,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-01-27,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-01-28,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-01-29,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-01-30,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-01-31,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-01,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-02,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-03,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-04,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-05,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-06,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-07,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-08,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-09,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-10,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-11,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-12,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-13,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-14,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-15,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-16,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-17,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-18,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-19,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-20,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-21,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-22,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-23,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-24,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-25,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-26,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-27,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-28,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-02-29,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-03-01,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-03-02,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-03-03,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
2020-03-04,Missouri,Linn,29115.0,0,0,0.0,0.0,0,0,0,503.5877192982456,226706
